DELEGACION,UTB
CENTRO HISTORICO,CENTRO
CENTRO HISTORICO,SANTA CLARA
CENTRO HISTORICO,5 DE MAYO
CENTRO HISTORICO,FRANCISCO MURGUIA (EL RANCHITO)
CENTRO HISTORICO,LA MERCED ( ALAMEDA)
 BARRIO TRADICIONALES,SANTA BARBARA
 BARRIO TRADICIONALES,EL COPORO
 BARRIO TRADICIONALES,LA RETAMA
 BARRIO TRADICIONALES,  SAN MIGUEL APINAHUISCO
 BARRIO TRADICIONALES,UNION
 BARRIO TRADICIONALES,SAN LUIS OBISPO
 ARBOL DE LAS MANITAS,ZOPILOCALCO SUR
 ARBOL DE LAS MANITAS,ZOPILOCALCO NORTE
 ARBOL DE LAS MANITAS,LOMAS ALTAS
 ARBOL DE LAS MANITAS,HUITZILA Y DOCTORES
 ARBOL DE LAS MANITAS,NIÑOS HEROES (PENSIONES)
 LA MAQUINITA,RANCHO LA MORA
 LA MAQUINITA,LOS ANGELES
 LA MAQUINITA,CARLOS HANK Y LOS FRAILES
 LA MAQUINITA,"GUADALUPE, CLUB JARDIN Y LA MAGDALENA"
 LA MAQUINITA, TLACOPA
 INDEPENDENCIA,REFORMA Y FERROCARRILES NACIONALES (SAN JUAN BAUTISTA)
 INDEPENDENCIA,METEORO
 INDEPENDENCIA,INDEPENDENCIA 
 INDEPENDENCIA,LAS TORRES (CIENTIFICOS)
 INDEPENDENCIA,SAN JUAN BUENAVISTA
SAN SEBASTIAN,VALLE VERDE Y TERMINAL
SAN SEBASTIAN,PROGRESO
SAN SEBASTIAN,IZCALLI IPIEM
SAN SEBASTIAN, SAN SEBASTIAN Y VERTICE
SAN SEBASTIAN,IZCALLI TOLUCA
SAN SEBASTIAN,SALVADOR SANCHEZ COLIN
SAN SEBASTIAN,COMISION FEDERAL DE ELECTRICIDAD
SAN SEBASTIAN,VALLE DON CAMILO
 UNIVERSIDAD,UNIVERSIDAD
 UNIVERSIDAD,CUAUHTEMOC
 UNIVERSIDAD,AMERICAS
 UNIVERSIDAD,ALTAMIRANO
 SANTA MARIA DE LAS ROSAS,SANTA MARIA DE LAS ROSAS
 SANTA MARIA DE LAS ROSAS,NUEVA SANTA MARIA DE LAS ROSAS
 SANTA MARIA DE LAS ROSAS,UNIDAD VICTORIA
 SANTA MARIA DE LAS ROSAS,LA MAGDALENA
 SANTA MARIA DE LAS ROSAS,NUEVA SANTA MARIA
 SANTA MARIA DE LAS ROSAS,BENITO JUAREZ
 SANTA MARIA DE LAS ROSAS,EVA SAMANO DE LOPEZ MATEOS
 SANTA MARIA DE LAS ROSAS,EMILIANO ZAPATA
 DEL PARQUE,DEL PARQUE   I
 DEL PARQUE,DEL PARQUE  I I
 DEL PARQUE,LAZARO CARDENAS
 DEL PARQUE,AMPLIACION LAZARO CARDENAS
 DEL PARQUE,AZTECA
METROPOLITANA ,LAS PALOMAS
METROPOLITANA ,LAS MARGARITAS
METROPOLITANA ,RANCHO MAYA
 COLON,COLON Y CIPRES I 
 COLON,COLON Y CIPRES I I   
 COLON,ISIDRO FABELA PRIMERA SECCION
 COLON,ISIDRO FABELA SEGUNDA SECCION
 COLON,RANCHO DOLORES 
 MODERNA DE LA CRUZ,MODERNA DE LA CRUZ  I
 MODERNA DE LA CRUZ,MODERNA DE LA CRUZ  I I
 MODERNA DE LA CRUZ,BOSQUES DE COLON
OCHO CEDROS,OCHO CEDROS  I   
OCHO CEDROS,VILLA HOGAR
OCHO CEDROS,OCHO CEDROS  I I
OCHO CEDROS,8 CEDROS SEGUNDA SECCION
SEMINARIO CONCILIAR,SEMINARIO EL PARQUE
SEMINARIO CONCILIAR,SEMINARIO 3a. SECCION
SEMINARIO CONCILIAR,SEMINARIO 1a. SECCION
SEMINARIO CONCILIAR,SEMINARIO EL MODULO
 SEMINARIO 2 DE MARZO,SEMINARIO 4A SECCION  I
 SEMINARIO 2 DE MARZO,SEMINARIO 4A SECCION I I
 SEMINARIO 2 DE MARZO,HEROES 5 DE MAYO I  
 SEMINARIO 2 DE MARZO,HEROES 5 DE MAYO I I
 SEMINARIO LAS TORRES,SEMINARIO SAN FELIPE DE JESUS
 SEMINARIO LAS TORRES,SEMINARIO 2a. SECCION
 SEMINARIO LAS TORRES,SEMINARIO 5a. SECCION
 MORELOS,MORELOS 1a SECCION
 MORELOS,MORELOS 2a SECCION
 MORELOS,FEDERAL ADOLFO LOPEZ MATEOS
 CIUDAD UNIVERSITARIA,PLAZAS DE SAN BUENAVENTURA
 CIUDAD UNIVERSITARIA,SAN BERNARDINO
 CIUDAD UNIVERSITARIA,VICENTE GUERRERO
 NUEVA OXTOTITLAN,NUEVA OXTOTITLAN  I
 NUEVA OXTOTITLAN,NUEVA OXTOTITLAN I I 
